Director Name,Birth Date
Quentin Tarantino,27/03/1963
David Fincher,28/08/1962
Robert Eggers,07/07/1983
Craig Cillespie,01/09/1967
James Gray,14/04/1969
Alex Garland,26/05/1970
Martin Scorsese,17/11/1942
Steven Spielberg,18/12/1946
Darren Aronofsky,12/02/1969
Christopher Nolan,30/07/1970
Robert Zemeckis,14/05/1972
James Cameron,16/08/1954
Greta Gerwig,4/08/1983
Clint Eastwood,31/05/1930
Ridley Scott,30/11/1937
Sofia Coppola,14/05/1971
Ari Aster,15/07/1986
Tim Burton,25/08/1951
Denis Villeneuve,30/10/1967
Yorgos Lanthimos,27/05/1973
Damien Chazelle,19/01/1985
M. Night Shyamalan,06/08/1970
